trail,city
 Dorfprozelten über Brasselburg und Faulbach,"Dorfprozelten, Bavaria, Germany"
 Von Laufamholz über den Schmausenbuck nach Fischbach,"Nuremberg, Bavaria, Germany"
 To the Frauenstein,"Schwangau, Bavaria, Germany"
 Von Warching entlang der Gailach,"Monheim, Bavaria, Germany"
 To the Wuhrsteinalm on Geigelstein,Naturschutzgebiet Geigelstein 
" Zwischen Oberroth, Sulzemoos und Kreuzholzhausen","Schwabhausen, Bavaria, Germany"
 Kneifelspitze and Marxenhöhe via Maria Gern Church,"Berchtesgaden, Bavaria, Germany"
 Falkenstein Castle Park Loop,Schlosspark Falkenstein
 From Spiegelau to Rachelsee,Bavarian Forest National Park
 Hohenkammer und Petershausen,"Hohenkammer, Bavaria, Germany"
 Von Hammersbach zum Höllental via Jägersteig,"Grainau, Bavaria, Germany"
 Loop at Kastl,Naturpark Hirschwald
 Dötzenkopf Loop,"Bad Reichenhall, Bavaria, Germany"
 Hiking trail : Marquartstein,"Marquartstein, Bavaria, Germany"
 Museumsweg Roth,"Roth, Bavaria, Germany"
 Tann bei St. Wolfgang Wanderung,"Sankt Wolfgang, Bavaria, Germany"
 Wandern durch Großer Filz und Klosterfilz,Bavarian Forest National Park
 Thalkirchdorf,Naturpark Nagelfluhkette 
 Tobelbach Röthenbach,"Röthenbach, Bavaria, Germany"
" -Gipfeltour: Mittag, Bärenköpfle und Steineberg","Blaichach, Bavaria, Germany"
 Johannesberg nach Steinbach über dem Langenberg,"Johannesberg, Bavaria, Germany"
 Rednitztal vineyard,"Roth, Bavaria, Germany"
 Nandlstadt Rundwanderung,"Nandlstadt, Bavaria, Germany"
 Dandlbergalm Loop,"Samerberg, Bavaria, Germany"
 Freibergsee Circular from Oberstdorf via Höllwiesenweg,"Oberstdorf, Bavaria, Germany"
 Wenighösbach Unterafferbach,Spessart Nature Park
 Premium hiking trail: extra tour forest window,Naturpark Bayerische Rhön 
 Zum Steigerwald ab Bamberg,Franconian Switzerland-Franconian Jura Nature Park
 From Altershausen around the Rossberg,Haßberge Nature Park
 Stolzenberg and Rosskopf via Albert-Link-Hütte,"Schliersee, Bavaria, Germany"
 Rabelsdorf Geißstein,Naturpark Haßberge
 Hohenbrunner Rundwanderweg Blau,"Hohenbrunn, Bavaria, Germany"
 Fellhorn ab Seegatterl,"Reit im Winkl, Bavaria, Germany"
 Premiumwanderweg: Panoramaweg,"Reit im Winkl, Bavaria, Germany"
 Kupferberg Runde,Naturpark Steinwald
 Gößweinsteiner Sagenweg,"Gößweinstein, Bavaria, Germany"
 Taubensee zum Rauschberg,"Ruhpolding, Bavaria, Germany"
 Hilpoltstein: educational fish trail,Naturpark Altmühltal
 Tachinger See Nord,"Taching am See, Bavaria, Germany"
 Berchtesgaden Königssee Brandkopf,"Berchtesgaden, Bavaria, Germany"
 Hosler Jugendwanderweg,Steigerwald Nature Park
 Grafing nach Aßling,"Grafing, Bavaria, Germany"
 Trettmanns Platte Köhlerlohe,Naturpark Steinwald
 Über Gibacht Wackelstein Hinterberg,"Regenstauf, Bavaria, Germany"
 Durch das Inntal: Passau Schardenberg,"Passau, Bavaria, Germany"
 Mittenwald Lautersee Barfusspfad,"Mittenwald, Bavaria, Germany"
 Hirschenstein Berglauf: Jugendlauf,Bavarian Forest Nature Park
 Zum Haidberg und Saubühl,"Geschaidt, Bavaria, Germany"
 Goldsteig Stage : Falkenberg to Neuhaus,Naturschutzgebiet Waldnaabtal
 Frankenweg: Hersbruck to Schnaittach,Franconian Switzerland-Franconian Jura Nature Park
 Hillenberg Roth Silbersee,Naturpark Bayerische Rhön 
 On the Isar in Krün,Naturschutzgebiet Karwendel und Karwendelvorgebirge
 Von Hornbach zum Falkenstein,"Rettenberg, Bavaria, Germany"
 To the Wichtelhölen Bad Kissingen,"Bad Kissingen, Bavaria, Germany"
 Baden an den Osterseen,"Iffeldorf, Bavaria, Germany"
 Fernwanderweg Lechweg: Grenze-Lechfall,"Schwangau, Bavaria, Germany"
 Schnappenlahner-Tour zur Staudacher Alm,"Staudach-Egerndach, Bavaria, Germany"
 Almerlebnispfad Ramsau,"Ramsau bei Berchtesgaden, Bavaria, Germany"
 Zum Fuchsberg,"Langenbach, Bavaria, Germany"
 Von Kreuzthal entlang dem Eisenbach zum Schwarzen Grat,"Buchenberg, Bavaria, Germany"
 Prignitz bei Rupprechtsstegen,"Hartenstein, Bavaria, Germany"
 Goldsteig Southern Route Stage : Wiesenfelden to Haunkenzell,Bavarian Forest Nature Park
 Eibsee north bank and RIffelwald,"Grainau, Bavaria, Germany"
 Zum Edelsberg,"Pfronten, Bavaria, Germany"
